scenario,K,optimizer,coverage_pct,gamma_mean,d_mean_m,solar_mean,scalar_score4,idxs_str,weights
DSM/CHM,50,Seeded-NSGA,68.65548980933596,0.6109296968834685,2866.4015677846583,0.9348414881908913,0.6565289928647402,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248,433,106,511,148,733,128,496,626,323,337,301,422,782,492,414,230,459,183,536,132","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Random,78.7146614069691,1.0,2749.9945232775594,1.0,0.7912360886815217,"745,440,609,740,699,525,353,583,399,605,503,453,764,60,520,280,588,161,664,289,546,359,302,381,409,167,334,140,42,690,671,314,720,31,654,210,188,394,716,83,467,323,275,693,143,62,105,410,367,270,111,458,227,259,298,365,706,307,157,225","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Greedy,97.2715318869165,1.0,3229.5118336752785,1.0,0.8540974391779608,"68,783,756,27,0,750,646,50,114,641,735,165,34,744,478,305,254,501,159,595,635,175,656,45,369,412,209,516,298,375,522,483,260,418,364,767,407,246,561,759,555,11,83,603,121,727,293,156,169,3,195,615,679,775,56,331,700,24,780,108","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Simple-NSGA,94.60880999342538,1.0,3191.889191750152,1.0,0.8461484728602258,"167,211,26,763,644,102,179,190,28,12,562,196,760,201,671,687,7,61,531,767,753,314,707,756,20,611,568,357,498,419,98,282,269,476,773,4,683,80,579,290,416,273,335,727,115,412,783,648,722,601,490,92,451,364,456,17,779,250,395,379","(0.25, 0.25, 0.25, 0.25)"
FLAT,60,Seeded-NSGA,89.23405654174886,1.0,3404.257429531095,1.0,0.8400054437952607,"0,783,756,27,3,780,700,83,56,727,759,24,266,671,644,139,6,777,312,21,168,614,703,80,9,424,553,199,432,723,765,18,12,771,569,656,215,536,633,15,317,223,123,520,62,720,706,359,279,502,476,456,336,175,648,128,114,667,418,410","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Random,67.98159105851414,0.7247942074074073,2816.86569473375,0.5463527407864777,0.5844868614774923,"226,586,142,466,707,185,153,40,609,641,626,236,130,706,66,501,206,163,7,249,683,190,89,313,493,597,290,74,285,252,57,339,168,525,351,749,349,657,745,607,637,452,69,3,335,704,375,441,692,158,224,663,112,264,777,494,703,400,449,306","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Greedy,92.75147928994083,0.9418169824074076,2911.231236675289,0.9198140059281769,0.7972736065952909,"76,703,725,144,81,715,562,42,554,93,137,737,396,260,573,30,248,408,595,388,283,529,459,236,750,128,298,578,508,169,718,317,496,422,45,711,222,648,106,38,613,729,294,511,148,733,274,50,337,35,385,132,519,780,183,638,473,230,626,741","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Simple-NSGA,87.853385930309,0.7896342014814816,2985.660072197779,0.7760090482628108,0.7135877205393221,"251,739,503,685,149,29,323,437,340,375,81,560,771,137,527,542,105,595,690,187,168,274,298,747,128,507,672,497,72,390,587,181,547,425,405,254,42,583,386,760,665,259,381,263,756,38,20,736,448,34,146,579,783,696,190,456,365,780,647,111","(0.25, 0.25, 0.25, 0.25)"
DEM,60,Seeded-NSGA,91.48586456278764,0.8203757487037038,3170.1976694255195,0.9202528452147417,0.7727532555408496,"106,760,1,780,27,648,698,116,81,743,168,42,728,222,737,529,7,508,390,93,283,783,47,573,580,260,422,408,718,128,588,301,294,459,596,686,137,496,181,613,369,248,750,113,12,336,148,414,706,60,672,23,475,576,317,271,711,638,16,279","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Random,51.69296515450361,0.4685118048040916,2890.6182341108624,0.6170853732356874,0.499910908564002,"757,20,754,256,140,161,400,26,750,685,721,102,82,36,315,702,593,572,121,706,335,516,724,765,180,22,488,755,346,416,168,353,269,515,605,272,404,178,401,241,92,371,52,65,645,177,160,739,383,499,128,156,753,465,225,106,519,343,64,86","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Greedy,76.87376725838264,0.5929144735790832,2875.2721342271598,0.9204317675241874,0.6692731129159051,"49,715,116,554,81,648,95,696,283,73,739,222,260,573,42,750,562,137,578,169,529,396,30,718,236,390,38,410,701,248,433,106,511,148,733,128,496,626,323,337,301,422,782,492,414,230,459,183,536,132,613,313,64,736,271,473,596,616,5,317","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Simple-NSGA,73.61932938856016,0.5341433769860681,2948.491348285587,0.6984051494813156,0.5934523267400117,"51,344,228,113,782,197,756,304,190,271,204,41,56,118,386,509,321,769,604,596,395,642,136,578,761,679,381,693,675,17,76,696,375,222,312,750,743,448,473,212,589,405,487,390,38,208,494,4,54,711,456,295,308,503,111,126,94,572,491,583","(0.25, 0.25, 0.25, 0.25)"
DSM/CHM,60,Seeded-NSGA,78.17225509533202,0.5926233848590347,2807.291705751564,0.9024476787264782,0.6656157287256258,"49,95,260,81,554,100,573,715,283,116,521,220,236,410,433,396,529,648,388,696,323,536,739,42,301,513,718,148,183,169,132,750,626,578,30,38,137,344,422,733,496,277,701,589,230,46,337,271,473,348,385,613,596,62,459,782,708,313,391,638","(0.25, 0.25, 0.25, 0.25)"
